example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.27179 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.00912 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.01486 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00821 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.02392 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.00986 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.0098 seconds  |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.0098 seconds  |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.01217 seconds |
./spec/features/calculations_spec.rb[10:1] | failed | 0.00369 seconds |
./spec/features/calculations_spec.rb[11:1] | failed | 0.00319 seconds |
./spec/features/calculations_spec.rb[12:1] | failed | 0.00315 seconds |
./spec/features/calculations_spec.rb[13:1] | failed | 0.00331 seconds |
./spec/features/calculations_spec.rb[14:1] | failed | 0.00344 seconds |
./spec/features/calculations_spec.rb[15:1] | failed | 0.00353 seconds |
./spec/features/calculations_spec.rb[16:1] | failed | 0.00386 seconds |
./spec/features/calculations_spec.rb[17:1] | failed | 0.00387 seconds |
./spec/features/calculations_spec.rb[18:1] | failed | 0.00437 seconds |
./spec/features/calculations_spec.rb[19:1] | failed | 0.00495 seconds |
./spec/features/calculations_spec.rb[20:1] | failed | 0.00392 seconds |
./spec/features/calculations_spec.rb[21:1] | failed | 0.00422 seconds |
./spec/features/calculations_spec.rb[22:1] | failed | 0.00346 seconds |
./spec/features/calculations_spec.rb[23:1] | failed | 0.00327 seconds |
./spec/features/calculations_spec.rb[24:1] | failed | 0.00388 seconds |
./spec/features/calculations_spec.rb[25:1] | failed | 0.0034 seconds  |
./spec/features/calculations_spec.rb[26:1] | failed | 0.00327 seconds |
./spec/features/calculations_spec.rb[27:1] | failed | 0.0034 seconds  |
./spec/features/calculations_spec.rb[28:1] | failed | 0.00396 seconds |
./spec/features/calculations_spec.rb[29:1] | failed | 0.00298 seconds |
./spec/features/calculations_spec.rb[30:1] | failed | 0.00274 seconds |
./spec/features/calculations_spec.rb[31:1] | failed | 0.0028 seconds  |
./spec/features/calculations_spec.rb[32:1] | failed | 0.00296 seconds |
./spec/features/calculations_spec.rb[33:1] | failed | 0.00279 seconds |
./spec/features/calculations_spec.rb[34:1] | failed | 0.00261 seconds |
./spec/features/calculations_spec.rb[35:1] | failed | 0.00367 seconds |
./spec/features/calculations_spec.rb[36:1] | failed | 0.00314 seconds |
./spec/features/calculations_spec.rb[37:1] | failed | 0.00319 seconds |
./spec/features/calculations_spec.rb[38:1] | failed | 0.00282 seconds |
./spec/features/calculations_spec.rb[39:1] | failed | 0.00364 seconds |
./spec/features/calculations_spec.rb[40:1] | failed | 0.00306 seconds |
./spec/features/calculations_spec.rb[41:1] | failed | 0.00298 seconds |
./spec/features/calculations_spec.rb[42:1] | failed | 0.00315 seconds |
./spec/features/calculations_spec.rb[43:1] | failed | 0.00269 seconds |
./spec/features/calculations_spec.rb[44:1] | failed | 0.00235 seconds |
./spec/features/calculations_spec.rb[45:1] | failed | 0.05206 seconds |
./spec/features/calculations_spec.rb[46:1] | failed | 0.00323 seconds |
./spec/features/calculations_spec.rb[47:1] | failed | 0.00319 seconds |
./spec/features/calculations_spec.rb[48:1] | failed | 0.00285 seconds |
./spec/features/calculations_spec.rb[49:1] | failed | 0.00361 seconds |
./spec/features/calculations_spec.rb[50:1] | failed | 0.00416 seconds |
